run,interval,reqrate,rate,resp,MB/sec,Read_rate,Read_resp,Write_rate,Write_resp,MB_read,MB_write,Xfersize,Mkdir_rate,Mkdir_resp,Rmdir_rate,Rmdir_resp,Create_rate,Create_resp,Open_rate,Open_resp,Close_rate,Close_resp,Delete_rate,Delete_resp,Getattr_rate,Getattr_resp,Setattr_rate,Setattr_resp,Copy_rate,Copy_resp,Move_rate,Move_resp,compratio,dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
rd1,18,999988.0000,30943.0000,0.1243,120.8711,15671.0000,0.0105,15272.0000,0.2410,61.2148,59.6562,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0311,13.0000,0.0232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,22.3301,2.9126,19.4175,0.0000,0.0000
rd1,19,999988.0000,33894.0000,0.1129,132.3984,16934.0000,0.0037,16960.0000,0.2220,66.1484,66.2500,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0288,14.0000,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.8532,2.7523,21.1009,0.0000,0.0000
rd1,20,999988.0000,30270.0000,0.1274,118.2422,15111.0000,0.0014,15159.0000,0.2530,59.0273,59.2148,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0251,11.0000,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,28.8462,6.7308,22.1154,0.0000,0.0000
rd1,21,999988.0000,34306.0000,0.1124,134.0078,17220.0000,0.0037,17086.0000,0.2221,67.2656,66.7422,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0224,12.0000,0.0439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.0741,2.7778,21.2963,0.0000,0.0000
rd1,22,999988.0000,35406.0000,0.1083,138.3047,17711.0000,0.0017,17695.0000,0.2150,69.1836,69.1211,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.2012,14.0000,0.0254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,24.7525,6.9307,17.8218,0.0000,0.0000
rd1,23,999988.0000,34257.0000,0.1136,133.8164,17071.0000,0.0104,17186.0000,0.2161,66.6836,67.1328,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0319,15.0000,0.0262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,22.8571,3.8095,19.0476,0.0000,0.0000
rd1,24,999988.0000,33230.0000,0.1208,129.8047,16543.0000,0.0013,16687.0000,0.2392,64.6211,65.1836,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0316,13.0000,0.0268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,23.2143,1.7857,21.4286,0.0000,0.0000
rd1,25,999988.0000,35961.0000,0.1036,140.4727,18000.0000,0.0033,17961.0000,0.2040,70.3125,70.1602,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,0.0269,13.0000,0.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,28.9720,5.6075,23.3645,0.0000,0.0000
rd1,26,999988.0000,34500.0000,0.1114,134.7656,17119.0000,0.0014,17381.0000,0.2198,66.8711,67.8945,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0341,14.0000,2.4709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,26.8519,6.4815,20.3704,0.0000,0.0000
rd1,27,999988.0000,31422.0000,0.1248,122.7422,15658.0000,0.0022,15764.0000,0.2465,61.1641,61.5781,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0307,12.0000,0.0178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,25.9615,2.8846,23.0769,0.0000,0.0000
rd1,28,999988.0000,34848.0000,0.1089,136.1250,17605.0000,0.0222,17243.0000,0.1975,68.7695,67.3555,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0274,14.0000,0.0156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,21.3592,1.9417,19.4175,0.0000,0.0000
rd1,29,999988.0000,31813.0000,0.1177,124.2695,15900.0000,0.0016,15913.0000,0.2337,62.1094,62.1602,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0289,12.0000,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,28.3019,3.7736,24.5283,0.0000,0.0000
rd1,30,999988.0000,34206.0000,0.1057,133.6172,17093.0000,0.0021,17113.0000,0.2091,66.7695,66.8477,4096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0260,14.0000,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,n/a,n/a,30.4762,4.7619,25.7143,0.0000,0.0000
